模型,训练集 R²,训练集 RMSE,训练集 MAE,验证集 R²,验证集 RMSE,验证集 MAE,测试集 R²,测试集 RMSE,测试集 MAE,预测年份
Ridge,0.4221,0.0556,0.0351,-0.2502,0.0776,0.0555,-0.3783,0.0682,0.0512,2018
RandomForest,0.6398,0.0439,0.0208,-0.0835,0.0723,0.0462,-0.0256,0.0589,0.0411,2018
ExtraTrees,0.7865,0.0338,0.0174,-0.3877,0.0818,0.0487,-0.1355,0.0619,0.0451,2018
HistGBDT,0.9475,0.0168,0.0095,-0.7633,0.0922,0.0564,-0.3066,0.0664,0.05,2018
Ridge,0.4267,0.0549,0.0359,-0.2951,0.0661,0.0513,-1.0474,0.1372,0.1114,2019
RandomForest,0.6145,0.045,0.024,0.1491,0.0536,0.0363,-0.1664,0.1035,0.0753,2019
ExtraTrees,0.7443,0.0367,0.0198,0.1872,0.0524,0.0368,-0.0077,0.0962,0.069,2019
HistGBDT,0.967,0.0132,0.0075,-0.0844,0.0605,0.0432,-0.3392,0.111,0.0842,2019
Ridge,0.4279,0.0534,0.0346,-0.2351,0.1066,0.0806,-1.2497,0.1198,0.104,2020
RandomForest,0.6358,0.0426,0.0239,-0.1015,0.1006,0.0714,-0.4344,0.0957,0.0676,2020
ExtraTrees,0.7418,0.0359,0.0202,0.177,0.087,0.0637,-0.4842,0.0973,0.067,2020
HistGBDT,0.9557,0.0149,0.0093,-0.1728,0.1038,0.0808,-0.5803,0.1004,0.0806,2020
Ridge,0.3669,0.0602,0.0386,-0.5613,0.0998,0.0789,-0.0433,0.12,0.0812,2021
RandomForest,0.6287,0.0461,0.0274,-0.7953,0.107,0.0759,0.1762,0.1067,0.0707,2021
ExtraTrees,0.7259,0.0396,0.0236,-0.8829,0.1096,0.0756,-0.0114,0.1182,0.0732,2021
HistGBDT,0.9446,0.0178,0.0124,-1.2282,0.1192,0.0803,0.2593,0.1011,0.074,2021
Ridge,0.3234,0.0637,0.0424,0.0284,0.1158,0.0755,-1.0934,0.1625,0.0916,2022
RandomForest,0.6128,0.0482,0.0305,-0.0139,0.1183,0.0858,-0.0412,0.1146,0.0631,2022
ExtraTrees,0.7436,0.0392,0.0243,-0.0989,0.1232,0.0896,-0.1576,0.1208,0.0593,2022
HistGBDT,0.9029,0.0241,0.0165,0.1753,0.1067,0.0781,-0.1225,0.119,0.066,2022
Ridge,0.3489,0.0689,0.0468,-0.8859,0.1542,0.0917,0.5862,0.0502,0.0408,2023
RandomForest,0.6405,0.0512,0.0329,0.3072,0.0935,0.0584,0.1803,0.0707,0.0523,2023
ExtraTrees,0.7631,0.0415,0.0262,0.2986,0.0941,0.0615,0.2573,0.0673,0.0474,2023
HistGBDT,0.9126,0.0252,0.0177,0.1232,0.1052,0.064,0.1217,0.0732,0.0583,2023
