scheme_code,方案,geo_weight,econ_weight,digital_weight,seed,best_epoch,训练集 R²,训练集 RMSE,训练集 MAE,验证集 R²,验证集 RMSE,验证集 MAE,测试集 R²,测试集 RMSE,测试集 MAE
equal,等权基准,0.33,0.33,0.34,22,45,0.2393,0.0755,0.0458,0.0195,0.0791,0.0575,0.1977,0.0852,0.0562
equal,等权基准,0.33,0.33,0.34,52,30,0.1842,0.0782,0.0462,0.0265,0.0789,0.0554,0.1483,0.0878,0.0567
equal,等权基准,0.33,0.33,0.34,72,40,0.193,0.0777,0.0462,-0.0026,0.08,0.0578,0.1839,0.0859,0.0559
equal,等权基准,0.33,0.33,0.34,102,28,0.1642,0.0791,0.0465,0.0222,0.079,0.055,0.1457,0.0879,0.0573
equal,等权基准,0.33,0.33,0.34,132,29,0.2346,0.0757,0.0437,0.0291,0.0788,0.0551,0.1911,0.0855,0.0542
geo,地理优先,0.5,0.25,0.25,22,45,0.2424,0.0753,0.0458,-0.0136,0.0805,0.0578,0.1816,0.086,0.0569
geo,地理优先,0.5,0.25,0.25,52,24,0.1499,0.0798,0.0473,0.0072,0.0796,0.0554,0.134,0.0885,0.0578
geo,地理优先,0.5,0.25,0.25,72,40,0.206,0.0771,0.0459,-0.0079,0.0802,0.0578,0.2069,0.0847,0.0548
geo,地理优先,0.5,0.25,0.25,102,35,0.1865,0.078,0.0461,0.0213,0.0791,0.0558,0.1647,0.0869,0.0566
geo,地理优先,0.5,0.25,0.25,132,26,0.2106,0.0769,0.0444,0.0151,0.0793,0.0555,0.1711,0.0866,0.055
econ,经济优先,0.25,0.5,0.25,22,48,0.2508,0.0749,0.0453,0.0391,0.0783,0.057,0.2075,0.0847,0.0557
econ,经济优先,0.25,0.5,0.25,52,31,0.1935,0.0777,0.0458,0.0325,0.0786,0.0548,0.1472,0.0878,0.0564
econ,经济优先,0.25,0.5,0.25,72,40,0.1916,0.0778,0.0462,-0.0047,0.0801,0.0578,0.1797,0.0861,0.056
econ,经济优先,0.25,0.5,0.25,102,28,0.1643,0.0791,0.0464,0.0286,0.0788,0.0547,0.1478,0.0878,0.0573
econ,经济优先,0.25,0.5,0.25,132,26,0.2196,0.0764,0.0441,0.0398,0.0783,0.0546,0.1704,0.0866,0.0546
digital,数字优先,0.25,0.25,0.5,22,45,0.238,0.0755,0.0454,0.0315,0.0787,0.0573,0.2151,0.0842,0.0554
digital,数字优先,0.25,0.25,0.5,52,31,0.1873,0.078,0.0459,0.0302,0.0787,0.0557,0.1466,0.0878,0.0567
digital,数字优先,0.25,0.25,0.5,72,40,0.1965,0.0776,0.046,-0.0092,0.0803,0.0579,0.1864,0.0858,0.0557
digital,数字优先,0.25,0.25,0.5,102,28,0.1673,0.079,0.0461,0.0301,0.0787,0.055,0.1521,0.0876,0.057
digital,数字优先,0.25,0.25,0.5,132,26,0.2143,0.0767,0.0441,0.0387,0.0784,0.0548,0.1711,0.0866,0.0549
